Subsector,Sector,Public/private split,Organisation size,Tenure Status,Energy management ambition,Measure group,Subsector payback period (years),Subsector elec abatement (GWh/year),Subsector non-elec abatement (GWh/year),Type (automatic SAS variable - ignore),FREQ (automatic SAS variable - ignore),Elec abatement (kWh/year),Non-elec abatement (kWh/year),Capital cost (£)
Law court,Emergency services,Public,Medium,Owned,Passive,Lighting,3.5,12.2,.,0,8,853610.2406,0,"£248,196 "
Law court,Emergency services,Public,Medium,Owned,Passive,Refrigeration,8.4,0,.,0,2,1541.096869,0,"£2,849 "
Law court,Emergency services,Public,Medium,Owned,Passive,Small appliances,12.3,2.7,0,0,4,46349.85534,5244.567544,"£119,223 "
Law court,Emergency services,Public,Medium,Owned,Passive,Space heating,8.3,2.2,23.4,0,8,0,785547.9823,"£292,916 "
Law court,Emergency services,Public,Medium,Owned,Passive,Ventilation,6.6,9.3,.,0,3,87198.14972,0,"£149,448 "
Law court,Emergency services,Public,Medium,Rent,Active,,.,.,.,0,2,.,., .
Law court,Emergency services,Public,Medium,Rent,Active,Air conditioning and cooling,13.3,5.2,.,0,7,320253.3121,0,"£249,170 "
Law court,Emergency services,Public,Medium,Rent,Active,Building fabric,9.2,0.9,8.3,0,4,12896.82348,102058.5322,"£112,783 "
Law court,Emergency services,Public,Medium,Rent,Active,Building instrumentation and control,2.2,3.8,18.8,0,7,81799.15839,576071.8723,"£103,606 "
Law court,Emergency services,Public,Medium,Rent,Active,Building services distribution systems,26.2,1.2,.,0,1,50563.66708,0,"£255,118 "
Law court,Emergency services,Public,Medium,Rent,Active,Carbon and Energy Management,0.7,9.6,18,0,6,556589.1105,314781.9977,"£75,922 "
Law court,Emergency services,Public,Medium,Rent,Active,Hot water,7,0.1,1.1,0,4,11529.50122,68431.38316,"£30,251 "
Law court,Emergency services,Public,Medium,Rent,Active,Lighting,3.5,12.2,.,0,7,622947.3586,0,"£184,391 "
Law court,Emergency services,Public,Medium,Rent,Active,Small appliances,12.3,2.7,0,0,3,219494.9681,1815.408222,"£199,927 "
Law court,Emergency services,Public,Medium,Rent,Active,Space heating,8.3,2.2,23.4,0,6,0,394268.0878,"£228,565 "
Law court,Emergency services,Public,Medium,Rent,Active,Ventilation,6.6,9.3,.,0,5,354364.9492,0,"£633,989 "
Law court,Emergency services,Public,Small,Owned,Active,,.,.,.,0,8,.,., .
Law court,Emergency services,Public,Small,Owned,Active,Air conditioning and cooling,13.3,5.2,.,0,25,633241.1508,0,"£501,397 "
Law court,Emergency services,Public,Small,Owned,Active,Building fabric,9.2,0.9,8.3,0,19,53589.3391,1011053.942,"£647,629 "
Law court,Emergency services,Public,Small,Owned,Active,Building instrumentation and control,2.2,3.8,18.8,0,26,471295.6165,4710428.621,"£501,894 "
Law court,Emergency services,Public,Small,Owned,Active,Building services distribution systems,26.2,1.2,.,0,5,227901.4499,0,"£933,746 "
Law court,Emergency services,Public,Small,Owned,Active,Carbon and Energy Management,0.7,9.6,18,0,33,1427994.018,4306216.507,"£182,922 "
Law court,Emergency services,Public,Small,Owned,Active,Hot water,7,0.1,1.1,0,17,9181.329101,96759.69298,"£47,568 "
Law court,Emergency services,Public,Small,Owned,Active,Lighting,3.5,12.2,.,0,29,1682681.501,0,"£762,418 "
Law court,Emergency services,Public,Small,Owned,Active,Refrigeration,8.4,0,.,0,2,1641.44951,0,"£4,215 "
Law court,Emergency services,Public,Small,Owned,Active,Small appliances,12.3,2.7,0,0,14,377795.1558,5754.659665,"£468,101 "
Law court,Emergency services,Public,Small,Owned,Active,Space heating,8.3,2.2,23.4,0,25,242.6885891,4742929.178,"£1,379,846 "
Law court,Emergency services,Public,Small,Owned,Active,Ventilation,6.6,9.3,.,0,34,1634470.654,0,"£1,497,821 "
Law court,Emergency services,Public,Small,Owned,Passive,,.,.,.,0,1,.,., .
Law court,Emergency services,Public,Small,Owned,Passive,Air conditioning and cooling,13.3,5.2,.,0,3,3526.818005,0,"£15,048 "
Law court,Emergency services,Public,Small,Owned,Passive,Building fabric,9.2,0.9,8.3,0,3,343.9810001,211842.4164,"£50,186 "
Law court,Emergency services,Public,Small,Owned,Passive,Building instrumentation and control,2.2,3.8,18.8,0,4,25613.21735,412689.2021,"£34,149 "
Law court,Emergency services,Public,Small,Owned,Passive,Building services distribution systems,26.2,1.2,.,0,1,33509.45013,0,"£43,701 "
Law court,Emergency services,Public,Small,Owned,Passive,Carbon and Energy Management,0.7,9.6,18,0,8,154666.9863,659977.0095,"£46,206 "
Law court,Emergency services,Public,Small,Owned,Passive,Hot water,7,0.1,1.1,0,3,0,8113.918069,"£8,131 "
Law court,Emergency services,Public,Small,Owned,Passive,Lighting,3.5,12.2,.,0,3,54701.88592,0,"£21,686 "
Law court,Emergency services,Public,Small,Owned,Passive,Small appliances,12.3,2.7,0,0,2,44667.96073,782.062523,"£62,327 "
Law court,Emergency services,Public,Small,Owned,Passive,Space heating,8.3,2.2,23.4,0,3,0,196344.8614,"£23,149 "
Law court,Emergency services,Public,Small,Owned,Passive,Ventilation,6.6,9.3,.,0,3,87078.45666,0,"£42,632 "
Law court,Emergency services,Public,Small,Rent,Active,,.,.,.,0,4,.,., .
Law court,Emergency services,Public,Small,Rent,Active,Air conditioning and cooling,13.3,5.2,.,0,11,124171.7809,0,"£151,688 "
Law court,Emergency services,Public,Small,Rent,Active,Building fabric,9.2,0.9,8.3,0,16,12392.92417,837863.2158,"£241,213 "
Law court,Emergency services,Public,Small,Rent,Active,Building instrumentation and control,2.2,3.8,18.8,0,10,58714.08152,1581361.582,"£189,386 "
Law court,Emergency services,Public,Small,Rent,Active,Building services distribution systems,26.2,1.2,.,0,2,26882.62297,0,"£168,558 "
Law court,Emergency services,Public,Small,Rent,Active,Carbon and Energy Management,0.7,9.6,18,0,15,270764.8852,1234225.193,"£89,113 "
Law court,Emergency services,Public,Small,Rent,Active,Hot water,7,0.1,1.1,0,6,0,20507.59714,"£12,112 "
Law court,Emergency services,Public,Small,Rent,Active,Lighting,3.5,12.2,.,0,15,1105901.925,0,"£348,261 "
Law court,Emergency services,Public,Small,Rent,Active,Small appliances,12.3,2.7,0,0,6,144667.0094,1771.542017,"£249,401 "
Law court,Emergency services,Public,Small,Rent,Active,Space heating,8.3,2.2,23.4,0,15,967.4093463,1906949.568,"£585,719 "
Law court,Emergency services,Public,Small,Rent,Active,Ventilation,6.6,9.3,.,0,17,297345.524,0,"£484,366 "
Law court,Emergency services,Public,Small,Rent,Passive,,.,.,.,0,1,.,., .
Law court,Emergency services,Public,Small,Rent,Passive,Air conditioning and cooling,13.3,5.2,.,0,2,1087.966072,0,"£10,649 "
Law court,Emergency services,Public,Small,Rent,Passive,Building fabric,9.2,0.9,8.3,0,2,0,49899.7092,"£32,664 "
Law court,Emergency services,Public,Small,Rent,Passive,Building instrumentation and control,2.2,3.8,18.8,0,4,172.4957044,389670.1563,"£51,119 "
Law court,Emergency services,Public,Small,Rent,Passive,Building services distribution systems,26.2,1.2,.,0,1,27469.19673,0,"£42,224 "
Law court,Emergency services,Public,Small,Rent,Passive,Carbon and Energy Management,0.7,9.6,18,0,6,83641.07172,407201.6707,"£36,870 "
Law court,Emergency services,Public,Small,Rent,Passive,Hot water,7,0.1,1.1,0,3,905.4899873,2952.684741,"£11,334 "
Law court,Emergency services,Public,Small,Rent,Passive,Lighting,3.5,12.2,.,0,2,220507.6138,0,"£80,030 "
Law court,Emergency services,Public,Small,Rent,Passive,Small appliances,12.3,2.7,0,0,3,56362.8586,284.5954395,"£54,566 "
Law court,Emergency services,Public,Small,Rent,Passive,Space heating,8.3,2.2,23.4,0,3,0,285934.2335,"£147,094 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,,.,.,.,0,2,.,., .
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Air conditioning and cooling,16.9,45.2,.,0,2,155456.9582,0,"£500,084 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Building fabric,9.3,8.3,67.1,0,5,0,2932495.681,"£1,246,737 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Building instrumentation and control,1.7,25.3,164.4,0,3,1343775.042,9566519.463,"£679,764 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Building services distribution systems,23.1,9.8,.,0,1,144785.1351,0,"£354,579 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Carbon and Energy Management,0.8,88.7,238.4,0,3,293972.3538,826230.6827,"£11,934 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Hot water,4.1,0.9,40.7,0,3,0,6671869.307,"£735,979 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Lighting,3,145.5,.,0,7,11743874.78,0,"£3,796,091 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Small appliances,13.1,0.4,1.6,0,1,0,190370.6327,"£102,776 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Space heating,9.6,6.6,203,0,5,0,22079124.79,"£3,808,179 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Swimming pools,10.2,113.7,502,0,3,10172432.77,51126432.45,"£29,086,308 "
Leisure Centres,"Community, Arts and Leisure",DontKnow,NotAsked,Owned,Active,Ventilation,4.8,88.2,5.7,0,4,8677787.375,821965.0577,"£3,272,421 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,,.,.,.,0,1,.,., .
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Air conditioning and cooling,16.9,45.2,.,0,2,79921.34912,0,"£61,546 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Building fabric,9.3,8.3,67.1,0,4,74816.81112,0,"£125,757 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Building instrumentation and control,1.7,25.3,164.4,0,2,137521.7772,0,"£48,927 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Building services distribution systems,23.1,9.8,.,0,1,77876.83761,0,"£254,570 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Carbon and Energy Management,0.8,88.7,238.4,0,3,242501.0281,0,"£41,342 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Hot water,4.1,0.9,40.7,0,1,9714.000895,0,"£7,974 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Lighting,3,145.5,.,0,3,398740.3832,0,"£200,124 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Refrigeration,5.8,5.4,.,0,1,705108.5415,0,"£423,870 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Small appliances,13.1,0.4,1.6,0,1,23799.3022,0,"£29,946 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Space heating,9.6,6.6,203,0,3,193333.6529,0,"£325,173 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Active,Ventilation,4.8,88.2,5.7,0,2,17563.48395,0,"£94,832 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,,.,.,.,0,1,.,., .
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Air conditioning and cooling,16.9,45.2,.,0,3,7150627.614,0,"£7,863,279 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Building fabric,9.3,8.3,67.1,0,2,1020619.438,1223536.973,"£1,173,318 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Building instrumentation and control,1.7,25.3,164.4,0,2,3193113.865,9196694.618,"£654,283 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Building services distribution systems,23.1,9.8,.,0,1,2092968.014,0,"£6,968,207 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Carbon and Energy Management,0.8,88.7,238.4,0,4,13962589.66,26435111.76,"£1,463,683 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Hot water,4.1,0.9,40.7,0,2,0,2362163.485,"£250,236 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Lighting,3,145.5,.,0,4,9269225.877,0,"£3,976,122 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Small appliances,13.1,0.4,1.6,0,1,0,215027.09,"£126,182 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Space heating,9.6,6.6,203,0,3,0,14100405.27,"£2,486,505 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Swimming pools,10.2,113.7,502,0,1,6308524.518,22361980.96,"£15,481,650 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Not Asked,Passive,Ventilation,4.8,88.2,5.7,0,2,8554763.428,548756.3324,"£4,162,221 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,,.,.,.,0,4,.,., .
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Air conditioning and cooling,16.9,45.2,.,0,9,1237201.302,0,"£1,289,577 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Building fabric,9.3,8.3,67.1,0,8,1200409.959,24185.63357,"£1,718,416 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Building instrumentation and control,1.7,25.3,164.4,0,6,1050823.043,57864.4771,"£269,257 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Building services distribution systems,23.1,9.8,.,0,2,142923.6037,0,"£636,342 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Carbon and Energy Management,0.8,88.7,238.4,0,12,1940211.38,911226.9828,"£207,439 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Hot water,4.1,0.9,40.7,0,3,18047.25371,563609.4101,"£92,513 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Lighting,3,145.5,.,0,14,3180182.366,0,"£1,233,796 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Refrigeration,5.8,5.4,.,0,1,10168.86465,0,"£6,644 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Small appliances,13.1,0.4,1.6,0,2,40678.50986,10699.19356,"£73,328 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Space heating,9.6,6.6,203,0,9,1007587.357,417521.0964,"£1,001,164 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Swimming pools,10.2,113.7,502,0,4,508705.0469,926226.0497,"£1,450,599 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Active,Ventilation,4.8,88.2,5.7,0,10,733054.885,12396.86475,"£756,637 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,,.,.,.,0,1,.,., .
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Air conditioning and cooling,16.9,45.2,.,0,2,194766.2807,0,"£224,094 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Building fabric,9.3,8.3,67.1,0,3,109083.9148,0,"£306,438 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Building instrumentation and control,1.7,25.3,164.4,0,4,445682.3712,0,"£71,684 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Building services distribution systems,23.1,9.8,.,0,1,48770.37252,0,"£306,861 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Carbon and Energy Management,0.8,88.7,238.4,0,4,806226.1221,930430.516,"£74,242 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Hot water,4.1,0.9,40.7,0,1,7804.673382,0,"£5,699 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Lighting,3,145.5,.,0,4,378788.158,0,"£94,040 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Small appliances,13.1,0.4,1.6,0,4,20047.0339,0,"£32,249 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Space heating,9.6,6.6,203,0,3,189281.6847,0,"£173,685 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Swimming pools,10.2,113.7,502,0,1,398994.7175,1395661.743,"£1,021,026 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,None,Ventilation,4.8,88.2,5.7,0,3,249861.9016,0,"£213,622 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,,.,.,.,0,4,.,., .
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Air conditioning and cooling,16.9,45.2,.,0,2,52345.50453,0,"£206,124 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Building fabric,9.3,8.3,67.1,0,15,709041.5386,678882.0859,"£1,562,149 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Building instrumentation and control,1.7,25.3,164.4,0,10,764939.962,1336569.665,"£713,745 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Building services distribution systems,23.1,9.8,.,0,2,45519.17022,0,"£260,044 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Carbon and Energy Management,0.8,88.7,238.4,0,13,1382742.716,1814223.598,"£355,809 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Hot water,4.1,0.9,40.7,0,6,50992.83586,320209.6022,"£110,689 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Lighting,3,145.5,.,0,15,2809214.969,0,"£1,270,892 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Refrigeration,5.8,5.4,.,0,1,3143219.568,0,"£1,889,521 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Small appliances,13.1,0.4,1.6,0,6,657.595239,10609.09432,"£35,322 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Space heating,9.6,6.6,203,0,11,516906.7978,1437023.913,"£1,892,677 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Swimming pools,10.2,113.7,502,0,2,443026.9207,1346390.17,"£658,707 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Owned,Passive,Ventilation,4.8,88.2,5.7,0,5,204570.1069,18376.56627,"£367,560 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,,.,.,.,0,11,.,., .
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Air conditioning and cooling,16.9,45.2,.,0,23,19587363.15,0,"£21,249,778 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Building fabric,9.3,8.3,67.1,0,27,1196222.31,13573929.58,"£6,159,648 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Building instrumentation and control,1.7,25.3,164.4,0,16,5312848.262,11177359.08,"£1,401,257 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Building services distribution systems,23.1,9.8,.,0,4,2608025.07,0,"£6,809,183 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Carbon and Energy Management,0.8,88.7,238.4,0,22,18665761.63,32633301.56,"£1,413,753 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Hot water,4.1,0.9,40.7,0,17,77626.43167,10240176.19,"£1,191,621 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Lighting,3,145.5,.,0,36,40230873.48,0,"£14,253,552 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Small appliances,13.1,0.4,1.6,0,4,100326.4085,409186.8934,"£354,836 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Space heating,9.6,6.6,203,0,33,562538.6735,37880924.49,"£10,013,417 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Swimming pools,10.2,113.7,502,0,14,27517563.53,106839119,"£51,482,056 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Active,Ventilation,4.8,88.2,5.7,0,20,36579251.87,1490509.477,"£19,972,683 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,,.,.,.,0,1,.,., .
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Air conditioning and cooling,16.9,45.2,.,0,1,123799.1339,0,"£156,675 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Building fabric,9.3,8.3,67.1,0,4,37266.17636,183261.7845,"£144,391 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Building instrumentation and control,1.7,25.3,164.4,0,4,13391.48226,416121.6613,"£186,139 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Building services distribution systems,23.1,9.8,.,0,1,49472.86292,0,"£321,172 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Carbon and Energy Management,0.8,88.7,238.4,0,5,1691601.056,147629.3168,"£280,677 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Hot water,4.1,0.9,40.7,0,2,0,115897.2762,"£43,826 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Lighting,3,145.5,.,0,5,517800.1669,0,"£216,278 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Refrigeration,5.8,5.4,.,0,1,65829.87457,0,"£58,435 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Small appliances,13.1,0.4,1.6,0,4,2166.218812,7944.412659,"£87,652 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Space heating,9.6,6.6,203,0,3,0,483663.0971,"£392,528 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Swimming pools,10.2,113.7,502,0,1,5004555.371,0,"£1,168,692 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,None,Ventilation,4.8,88.2,5.7,0,3,46214.35353,20443.48695,"£322,055 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,,.,.,.,0,7,.,., .
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Air conditioning and cooling,16.9,45.2,.,0,10,955669.6288,0,"£1,001,501 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Building fabric,9.3,8.3,67.1,0,18,319653.5338,578126.5565,"£1,558,280 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Building instrumentation and control,1.7,25.3,164.4,0,18,1282172.351,2486022.406,"£1,049,761 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Building services distribution systems,23.1,9.8,.,0,3,385162.0928,0,"£1,446,730 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Carbon and Energy Management,0.8,88.7,238.4,0,21,2759809.065,2559824.913,"£861,552 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Hot water,4.1,0.9,40.7,0,11,227459.9845,721806.1982,"£254,549 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Lighting,3,145.5,.,0,28,4703526.855,0,"£2,100,109 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Refrigeration,5.8,5.4,.,0,1,21002.09449,0,"£13,723 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Small appliances,13.1,0.4,1.6,0,3,136615.9897,36734.73892,"£197,824 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Space heating,9.6,6.6,203,0,18,569776.4119,4362322.074,"£1,689,435 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Swimming pools,10.2,113.7,502,0,7,3417521.812,15679128.22,"£8,892,424 "
Leisure Centres,"Community, Arts and Leisure",Private,NotAsked,Rent,Passive,Ventilation,4.8,88.2,5.7,0,17,2210503.688,25137.50474,"£2,390,330 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,,.,.,.,0,14,.,., .
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Air conditioning and cooling,16.9,45.2,.,0,15,4391692.14,0,"£4,356,229 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Building fabric,9.3,8.3,67.1,0,31,637815.843,7688702.464,"£3,742,620 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Building instrumentation and control,1.7,25.3,164.4,0,17,2169905.631,9856124.159,"£1,122,896 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Building services distribution systems,23.1,9.8,.,0,1,96327.27138,0,"£160,044 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Carbon and Energy Management,0.8,88.7,238.4,0,19,1496255.847,7594412.936,"£394,941 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Hot water,4.1,0.9,40.7,0,17,0,5374175.484,"£592,361 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Lighting,3,145.5,.,0,47,19520548.76,0,"£7,150,314 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Refrigeration,5.8,5.4,.,0,2,1125146.725,0,"£644,387 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Small appliances,13.1,0.4,1.6,0,1,0,47701.74428,"£29,348 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Space heating,9.6,6.6,203,0,39,2381716.511,17232957.4,"£5,023,880 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Swimming pools,10.2,113.7,502,0,14,9242478.951,43444141.13,"£22,438,558 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,Active,Ventilation,4.8,88.2,5.7,0,31,6355153.096,512529.3374,"£3,310,585 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,None,,.,.,.,0,1,.,., .
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,None,Air conditioning and cooling,16.9,45.2,.,0,2,332301.7322,0,"£549,285 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,None,Building fabric,9.3,8.3,67.1,0,5,84892.18367,1290986.072,"£657,353 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,None,Building instrumentation and control,1.7,25.3,164.4,0,2,128886.3187,1019872.547,"£111,891 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,None,Building services distribution systems,23.1,9.8,.,0,1,265587.7293,0,"£777,241 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,None,Carbon and Energy Management,0.8,88.7,238.4,0,7,1337865.856,2296932.7,"£220,405 "
Leisure Centres,"Community, Arts and Leisure",Public,NotAsked,Owned,None,Hot water,4.1,0.9,40.7,0,3,0,545256.6835,"£74,926 "
